id,query_text,lclsf_nm,age,school_cd,job_cd,mrg_stts_cd,zip_cd,plcy_major_cd,ground_truth_policies
18,서울특별시에 사는 20세 청년인데 취업·창업 지원 정책이 있을까?,일자리,20,,,,서울특별시,,20250315005400210612
19,전국 대상 22세 청년인데 주거 지원 정책이 있을까?,주거,22,,,,전국,,20250115005400110267
20,울산광역시에 사는 38세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,38,,미취업자,,울산광역시,,20250424005400210721
21,부산광역시에 사는 33세 청년인데 주거 지원 정책이 있을까?,주거,33,,,,부산광역시,,20250502005400210779
22,광주광역시에 사는 29세 재직자 청년인데 취업·창업 지원 정책이 있을까?,일자리,29,,재직자,,광주광역시,,20250424005400210719
23,서울특별시에 사는 25세 대학 재학 청년인데 취업·창업 지원 정책이 있을까?,일자리,25,대학 재학,,,서울특별시,,20250316005400210619
24,전국 대상 23세 청년인데 취업·창업 지원 정책이 있을까?,일자리,23,,,,전국,,20250110005400110154
25,광주광역시 남구에 사는 22세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,22,,미취업자,,광주광역시 남구,,20250428005400210727
26,충청북도에 사는 34세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,34,,미취업자,,충청북도,,20240221005400200024
27,부산광역시 부산진구에 사는 20세 청년인데 주거 지원 정책이 있을까?,주거,20,,,,부산광역시 부산진구,,20250115005400210264
28,충청북도에 사는 31세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,31,,미취업자,,충청북도,,20240214005400200001
29,강원특별자치도에 사는 20세 기혼 청년인데 주거 지원 정책이 있을까?,주거,20,,,기혼,강원특별자치도,,20250502005400210775
30,경기도 의왕시에 사는 36세 청년인데 취업·창업 지원 정책이 있을까?,일자리,36,,,,경기도 의왕시,,20250402005400210684
31,전국 대상 22세 기타 청년인데 취업·창업 지원 정책이 있을까?,일자리,22,,기타,,전국,,20250123005400110395
32,"충청남도 아산시에 사는 19세 재직자, 기타 청년인데 취업·창업 지원 정책이 있을까?",일자리,19,,"재직자, 기타",,충청남도 아산시,,20240422005400200001
33,제주특별자치도에 사는 18세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,18,,미취업자,,제주특별자치도,,20250115005400210291
34,전국 대상 32세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,32,,미취업자,,전국,,20250228005400210575
35,서울특별시에 사는 22세 청년인데 취업·창업 지원 정책이 있을까?,일자리,22,,,,서울특별시,,20250315005400210614
36,경기도 가평군에 사는 20세 청년인데 취업·창업 지원 정책이 있을까?,일자리,20,,,,경기도 가평군,,20250108005400210084
37,강원특별자치도 원주시에 사는 31세 청년인데 취업·창업 지원 정책이 있을까?,일자리,31,,,,강원특별자치도 원주시,,20250327005400210660
38,강원특별자치도 원주시에 사는 28세 청년인데 취업·창업 지원 정책이 있을까?,일자리,28,,,,강원특별자치도 원주시,,20250327005400210659
39,충청북도 제천시에 사는 22세 청년인데 취업·창업 지원 정책이 있을까?,일자리,22,,,,충청북도 제천시,,20250220005400210497
40,"대구광역시에 사는 39세 고교 졸업, 대학 졸업 미취업자 청년인데 취업·창업 지원 정책이 있을까?",일자리,39,"고교 졸업, 대학 졸업",미취업자,,대구광역시,,20250221005400210534
41,제주특별자치도에 사는 20세 청년인데 취업·창업 지원 정책이 있을까?,일자리,20,,,,제주특별자치도,,20250115005400210303
42,충청북도에 사는 28세 대학 재학 청년인데 취업·창업 지원 정책이 있을까?,일자리,28,대학 재학,,,충청북도,,20240216005400200008
43,전국 대상 37세 미취업자 청년인데 취업·창업 지원 정책이 있을까?,일자리,37,,미취업자,,전국,,20250110005400110155
44,"충청북도에 사는 23세 미혼 재직자, 영농종사자 청년인데 취업·창업 지원 정책이 있을까?",일자리,23,,"재직자, 영농종사자",미혼,충청북도,,20240115005400200004
45,광주광역시에 사는 39세 청년인데 취업·창업 지원 정책이 있을까?,일자리,39,,,,광주광역시,,20250508005400210798
46,전라남도에 사는 39세 청년인데 취업·창업 지원 정책이 있을까?,일자리,39,,,,전라남도,,20250119005400210338
47,"대전광역시에 사는 39세 대학 재학, 석·박사 미취업자 공학계열 청년인데 취업·창업 지원 정책이 있을까?",일자리,39,"대학 재학, 석·박사",미취업자,,대전광역시,공학계열,20250409005400210697
48,"경상북도에 사는 31세 재직자, 미취업자 청년인데 취업·창업 지원 정책이 있을까?",일자리,31,,"재직자, 미취업자",,경상북도,,20250516005400210832
49,서울특별시에 사는 38세 미혼 청년인데 주거 지원 정책이 있을까?,주거,38,,,미혼,서울특별시,,20250316005400210630
50,부산광역시에 사는 30세 청년인데 취업·창업 지원 정책이 있을까?,일자리,30,,,,부산광역시,,20250114005400210220
